,syndate,????????,?????????,????????,????????,???????,???????,?????,???????????,?????,???,????????,?????????????????,???????,???????????,?????????????,????????????,?????,???????,????????,????????,????????????,????????????,?????,???????,???????,?????,????????????????????,??????????,????????????????,????????????,????????,????????
1,8/31/2013,-0.001486242,0.25181282,-0.171450424,-0.003031612,-0.016449013,2.670018829,0.209979233,0.798145704,-0.023458795,0.925375892,0.423170958,-0.038702837,-0.217151246,-0.007088798,2.141877741,0.035988539,0.569730075,0.269912253,0.565589922,1.301363183,3.204433963,0.608680697,1.164154306,1.193826757,0.639641907,1.238489326,-0.437086606,2.993928481,2.424897682,,,
2,9/30/2013,0.001486152,-0.251797712,0.171440138,0.00303143,0.016448026,-2.669858638,-0.209966635,-0.798097818,0.023457388,-0.925320372,-0.423145569,0.038700515,0.217138218,0.007088373,-2.141749235,-0.035986379,-0.569695894,-0.269896059,-0.565555988,-1.301285105,-3.204241708,-0.608644178,-1.164084461,-1.193755131,-0.639603531,-1.238415021,0.437060382,-2.993748855,-2.424752194,,,
3,10/31/2013,1703.940126,-191.6648705,-374.0648033,-174.0150575,990.9560754,10477.80311,355.7894662,841.4634635,683.7748612,2000.956143,1633.472874,2280.571101,645.9167428,1174.304046,3408.217538,7770.626427,519.050692,-88.02123819,2210.686887,4233.122624,6238.370763,5919.988741,2832.348791,6979.432492,6856.325038,13471.19076,-2052.182237,6546.358021,-4537.501753,,,
4,11/30/2013,7818.911826,-1155.996396,53.32566382,-747.7708705,3513.610796,32791.9009,793.8547523,3874.633338,1672.15065,7302.961925,5282.775628,8136.772035,2242.422356,4378.484953,11512.83619,29354.98742,120.1421821,-1087.107075,8341.453812,14793.4016,21780.58919,12268.51032,10766.6714,22480.31981,24072.86381,45053.42961,-7792.967277,21565.31909,-16882.04478,,,
5,12/31/2013,32428.19468,-5011.633854,10583.30148,-1609.823043,9777.60844,96940.77483,7641.17731,8998.48462,5437.522356,26712.39959,22829.57687,22989.37084,6459.599921,12648.83134,35017.59643,114821.6668,-1442.928963,-5447.64328,38532.23376,44677.12673,78057.59797,26424.09403,20588.06332,70364.01353,79119.55043,103813.864,-18915.03896,66477.8352,366.0019045,,,
6,1/31/2014,87035.41746,-12831.30542,36365.87334,-3124.322468,17871.16878,200192.254,27376.1286,15513.81415,16032.47212,58959.9975,46994.40335,44647.52074,19371.87521,24388.63948,61902.91508,260917.5747,5680.573579,-19656.414,97266.90402,80941.20215,140173.0042,45647.26152,20884.75848,152321.6078,168146.395,135270.1325,-25931.70956,128980.439,131469.9457,,,
7,2/28/2014,143212.2204,-22960.58211,65513.92339,-5359.026961,21619.37741,268499.719,53142.07801,21761.79703,33050.8272,77820.87483,58935.81561,57402.17543,37353.45768,31255.24748,53897.36501,363162.0299,28807.07673,-42674.44796,146465.5942,89059.9821,115660.0129,61991.34816,7222.760973,204792.8634,234108.0786,89890.50608,-14619.33326,138867.315,351947.3092,,,
8,3/31/2014,169032.6205,-30003.28996,85228.89371,-7014.982731,20706.33109,239257.4725,72139.45363,23808.73464,49421.79161,58519.59774,43313.9896,53151.65242,57394.3589,29046.06514,-14711.16882,328095.9898,68895.70458,-64116.98283,148651.7267,59233.329,-34781.39257,61081.84344,-8907.899302,184906.4729,231420.7478,-12812.69304,20190.83659,52372.35049,555198.1928,,,
9,4/30/2014,148589.5015,-28261.67108,84974.16444,-6775.641334,18067.55806,74518.0643,77758.13136,17018.3309,60059.2811,-1626.28143,-1246.901134,33844.32629,70769.72152,21263.7113,-132852.5911,162123.9186,112299.1655,-70243.86458,93566.62847,9589.737447,-284197.935,38787.03564,-23249.0441,99119.83998,141692.9969,-95708.2265,68849.37534,-104422.8043,595061.5092,,,
10,5/31/2014,97482.48603,-16985.26127,67610.92969,-4238.984015,15128.85069,-214274.5808,72728.5025,1408.343514,61683.01997,-78154.41437,-56539.10229,4938.16885,64520.08116,14466.04936,-274187.9115,-12582.49112,139439.561,-57011.04376,8261.654222,-37577.46698,-531252.7687,6261.157656,-45837.15982,-23992.1495,-10571.53003,-100240.1104,123854.701,-249987.3524,433241.2207,,,
11,6/30/2014,43079.84653,495.9646168,40310.29246,413.4138148,10660.42982,-532579.6971,58278.43076,-18138.17631,55260.46079,-140241.3975,-92847.46627,-25983.22856,35322.74842,10858.35023,-412490.7771,-99387.87971,145798.5485,-30949.99758,-76938.23923,-77273.96293,-690037.3254,-39644.01426,-80672.09351,-148181.963,-178791.3413,8094.966437,175576.2106,-338903.7022,197701.0888,,,
12,7/31/2014,10231.93638,18790.4218,11904.95093,6732.747884,3499.209231,-783115.3981,32474.23472,-39123.502,43153.1917,-174145.1227,-105617.1685,-51338.77706,496.5228583,4941.630578,-517285.9215,-95928.07803,145207.8576,-1203.999773,-139159.4398,-112077.5132,-771223.0708,-102534.2309,-115700.1201,-256969.3474,-332222.0172,163510.4999,592452.0412,-386147.3092,23385.50693,,,
13,8/31/2014,-13439.72652,32153.57061,-17316.59162,14985.0614,-6709.902203,-940983.1578,977.7325237,-61229.40666,32021.15939,-199076.768,-104033.5774,-68036.4747,-26274.96351,-7223.712519,-578740.6733,-75077.27255,150393.1826,20891.21463,-168882.0912,-158103.0077,-842161.5651,-172264.9337,-140992.4401,-347572.501,-444419.4352,287033.4531,500199.3432,-427405.7591,-64219.64104,,,
14,9/30/2014,-59899.07022,35613.77754,-43379.27812,24071.07938,-19404.53478,-1037965.228,-31532.26722,-82266.73442,24623.67703,-230141.1927,-105222.3457,-74562.41318,-41200.68641,-24840.19149,-623524.2956,-123485.1347,161393.79,28050.09571,-174742.6136,-221058.5205,-922773.6758,-224627.3232,-145356.2173,-418612.1898,-495369.98,335487.6459,-54291.11926,-479621.5893,-86160.20678,,,
15,10/31/2014,-142439.9061,26774.67666,-63010.64761,33307.71444,-29458.53054,-1123008.828,-60299.60013,-100146.5413,19795.27387,-271770.8136,-112401.0221,-72999.94977,-42922.16466,-42223.13926,-683261.9462,-262243.6981,167992.4915,20746.48452,-173946.493,-279043.9873,-969848.6394,-253580.1209,-125932.9701,-450129.3029,-490348.8285,280111.1947,24405.58422,-537255.2066,-75233.01815,,,
16,11/30/2014,-241938.9657,7277.183693,-79554.35381,44502.22488,-34103.23723,-1227281.122,-76976.209,-109170.476,13244.49018,-316175.7892,-129470.8018,-65768.95759,-30192.18518,-51479.30793,-773376.4018,-443262.9813,156891.2332,4783.64822,-174652.6894,-305550.1067,-938182.8311,-246854.1861,-85289.74676,-428207.4074,-469564.1699,157392.7703,95049.21444,-567133.9534,-6023.412003,,,
17,12/31/2014,-314365.3828,-18768.25886,-93699.90836,58543.25242,-32474.79998,-1327969.738,-81599.50726,-107080.35,1116.834534,-356383.7748,-140163.4526,-56508.02943,-12139.55733,-52120.20557,-882659.5756,-603684.6457,122498.1897,-11381.92254,-184185.7667,-294761.6883,-888426.7299,-196744.2256,-30471.9771,-387554.8977,-450912.4069,57700.80654,146799.8067,-568244.9493,124753.4341,,,
18,1/31/2015,-324200.0352,-45420.02015,-107134.919,72384.36614,-26399.36602,-1389274.014,-84305.21397,-99134.8719,-16094.21846,-390944.2596,-140500.7981,-49480.40745,-222.2332793,-51473.80201,-973328.8993,-698373.0822,78908.1216,-20408.59776,-210813.027,-241806.8608,-875528.9089,-112639.0797,22513.17056,-357606.7771,-435939.4787,7691.240801,166315.8962,-574677.0395,292571.8834,,,
19,2/28/2015,-276720.9,-66303.14761,-127661.4957,82863.56656,-19137.31035,-1405783.179,-82302.90238,-88223.84095,-34184.47588,-412040.5081,-140652.5666,-45533.4318,-5258.530188,-51087.22436,-1012403.557,-723641.3277,39239.45362,-18582.00476,-251019.2038,-164955.952,-945099.8089,-11184.48102,52783.13405,-348768.3486,-421947.7228,-2282.200598,143633.2929,-564745.0892,471959.5024,,,
20,3/31/2015,-211412.3565,-77353.57384,-154703.2936,87418.26302,-15610.70624,-1374733.078,-68424.78649,-78822.56203,-50087.094,-403196.4202,-140942.4989,-42983.26777,-28331.6985,-50667.86801,-978312.2529,-658282.9874,-2468.772628,-6423.775376,-285763.0957,-92015.82098,-1039963.368,91779.84037,52086.67265,-363977.4779,-410525.5427,-21060.65866,93647.35162,-491947.0246,603347.5195,,,
21,4/30/2015,-167345.552,-76433.17958,-184103.4857,85187.45656,-17910.21031,-1269060.695,-47709.10495,-72220.69579,-62738.0633,-354763.8192,-126091.9237,-43399.90448,-60322.43759,-49030.72361,-876656.6637,-528274.1251,-48505.57293,15207.49438,-299897.2979,-55409.56256,-1071238.067,180447.813,40265.90343,-372674.2349,-400863.8387,-88602.57102,39441.47086,-384044.308,705833.2298,,,
22,5/31/2015,-169340.3169,-65255.22794,-208600.3048,76774.96443,-23315.81162,-1073456.46,-32882.87041,-72431.9599,-67862.56841,-280718.0882,-96372.1216,-45069.62341,-71928.80893,-51504.26009,-729435.6418,-424452.0507,-97593.1113,42374.12902,-283495.4604,-57530.77831,-1017656.383,252521.0262,32486.88707,-349366.4239,-397525.2928,-217358.801,-2335.109945,-278951.4977,747504.773,,,
23,6/30/2015,-216541.7649,-49590.88473,-222567.7217,64127.89644,-28836.17709,-848264.0632,-30895.2734,-84337.91673,-56302.87674,-224489.1801,-65034.48636,-48327.65622,-52136.29365,-58702.2326,-573285.4871,-421285.1444,-141435.4478,73623.56224,-250302.952,-92920.78893,-932450.1162,301818.8072,21806.42624,-318510.2077,-394477.956,-425616.407,-21897.55075,-208805.2788,605274.5419,,,
24,7/31/2015,-287827.1096,-37144.61029,-228475.9099,49499.01886,-33753.12849,-668341.6062,-43487.65055,-109229.8375,-23122.76067,-212250.5913,-45691.98454,-46771.19568,-13696.45596,-69431.20794,-451344.6386,-547952.7382,-173864.9653,105326.5416,-235353.4306,-163334.9789,-889351.9876,318107.9097,701.2735336,-305852.1355,-371163.9339,-653874.6841,-20993.34048,-223408.3877,208041.697,,,
25,8/31/2015,-355128.3523,-31874.83389,-230786.6522,33384.92969,-35945.02004,-582064.6225,-67065.74617,-139929.2842,29976.40903,-228774.3846,-30253.47375,-38367.0907,25746.24958,-76937.07768,-397828.6168,-709705.6202,-185254.568,131824.1594,-255070.4454,-250529.3965,-952342.8401,279456.4765,-31571.23903,-318667.0986,-336458.9623,-878857.9823,-13792.27839,-351623.5803,-330710.9766,,,
26,9/30/2015,-413223.6972,-32938.736,-236882.7903,15115.58941,-34671.62689,-591970.3907,-93101.03831,-168102.2426,93862.44374,-239986.9365,-11344.75038,-28654.91589,50193.94882,-74965.97498,-417495.841,-797550.0974,-180034.2861,147786.4974,-293309.9358,-318644.738,-1114076.446,154938.4952,-76510.48017,-354707.047,-329747.8187,-1087342.902,-5760.753807,-544228.3974,-877326.249,,,
27,10/31/2015,-469492.7485,-34704.76486,-245344.4526,-7635.432306,-31176.77655,-643513.1593,-124613.6391,-187435.4998,152254.1898,-222190.7073,8839.612121,-26772.81357,48943.89134,-67401.99316,-498974.0701,-797900.7502,-162399.6985,144617.7557,-326749.4403,-365317.7392,-1407914.676,-70434.95052,-131690.4229,-418873.5007,-369398.304,-1302585.735,5354.67018,-728681.8715,-1383043.608,,,
28,11/30/2015,-522990.1559,-31963.66828,-258422.2865,-36857.06135,-29227.63915,-673598.4106,-165617.4037,-190962.3168,184078.2487,-188163.8945,17027.18616,-40924.27682,24624.91526,-61571.72062,-621635.5695,-752843.3259,-130938.0531,120499.9379,-343852.9228,-403848.0052,-1849513.055,-366300.309,-214794.7895,-491089.7085,-441184.6507,-1543305.482,23387.5317,-892170.5433,-1882781.832,,,
29,12/31/2015,-594320.7026,-22725.33846,-282436.0554,-70756.67483,-34351.4798,-687884.0703,-206104.6956,-182595.7202,178816.6617,-168965.4581,11948.57326,-73575.47404,-14313.24191,-62250.69344,-741949.8787,-812498.9429,-90509.69584,78865.09352,-348329.9274,-459907.2289,-2375276.757,-692162.6318,-325097.1547,-560128.5855,-520007.5092,-1752480.589,51904.03764,-1018128.513,-2345789.782,,,
30,1/31/2016,-683660.328,-7109.621247,-312706.2992,-103537.0288,-48112.29551,-719535.8696,-231245.0152,-169477.9002,137832.2009,-180923.1647,14214.60667,-116407.1927,-61470.08836,-68909.47168,-829432.7609,-1029263.046,-64983.16116,29340.21125,-351523.1869,-557288.0361,-2828513.645,-989326.9205,-445531.2947,-651364.0182,-609369.3459,-1838551.293,79352.10406,-1110131.302,-2811384.775,,,
31,2/29/2016,-788735.466,10748.75956,-342909.4372,-130156.0593,-67300.35621,-768884.9577,-247792.417,-163168.5237,71502.27462,-225895.4856,32511.18977,-161025.7239,-113099.537,-77075.70332,-848568.5554,-1350128.912,-76359.93326,-18028.98942,-378947.4296,-693882.0026,-3023277.091,-1215286.905,-557751.5019,-768693.6283,-725495.2422,-1773569.604,85909.779,-1193141.195,-3269988.998,,,
32,3/31/2016,-893406.604,23682.25213,-366570.0624,-147514.5593,-86537.68662,-800682.1595,-269371.0558,-175249.7332,1187.46498,-289609.7018,37428.08691,-199923.4806,-157616.3193,-83657.66491,-788202.6478,-1635263.378,-127574.5963,-51794.33178,-438716.2746,-840277.0246,-2869742.908,-1359791.544,-649696.0312,-897311.8365,-845962.9861,-1605229.959,61866.08988,-1275383.83,-3630894.141,,,
33,4/30/2016,-975189.9665,26126.33987,-373861.6654,-154063.9492,-101776.6266,-792973.2787,-305166.4208,-205348.9967,-56589.90436,-362774.4519,-5921.554918,-228830.3403,-188777.7191,-90125.83593,-655183.4521,-1764706.43,-188499.9637,-66930.75624,-522967.5422,-951242.9203,-2422059.359,-1427121.532,-719501.8775,-1029730.574,-931381.932,-1422436.849,20753.85681,-1325733.88,-3808886.802,,,
34,5/31/2016,-1009208.116,19118.78287,-366093.453,-149603.3899,-112866.258,-724595.1007,-341690.2162,-239011.2957,-101410.4405,-434348.6021,-86451.66904,-246527.8487,-213044.8317,-100147.7807,-476631.2525,-1729978.834,-232590.3705,-67067.7299,-604635.4904,-1016829.791,-1867241.517,-1443693.524,-749541.3899,-1130399.615,-938657.9467,-1246060.063,-15321.95673,-1353120.09,-3773821.046,,,
35,6/30/2016,-993724.9375,7302.884818,-351915.462,-137207.7433,-118416.8709,-608797.4548,-352623.4978,-259598.0025,-145340.0227,-482922.8202,-167279.5804,-251906.4845,-230251.3658,-108628.9363,-282271.0821,-1567417.394,-248835.1955,-63393.89278,-650519.8469,-1033014.79,-1389878.362,-1424082.926,-724125.5793,-1151725.097,-869177.4899,-1053085.924,-38075.29277,-1347568.197,-3534474.662,,,
36,7/31/2016,-956856.0393,-2550.314579,-339241.5877,-121670.5471,-117697.3289,-499749.9407,-325834.4255,-256193.2045,-203722.8745,-502268.4293,-219713.675,-248976.2882,-242858.9495,-106616.6192,-88848.85101,-1381908.606,-245103.9911,-69912.39137,-654897.9114,-993888.6945,-1062414.322,-1366481.204,-654849.9948,-1081558.85,-771601.5814,-846899.0383,-46930.23784,-1273133.347,-3237667.89,,,
37,8/31/2016,-938401.9983,-7337.09831,-322305.7007,-106727.1373,-113272.9079,-428290.6916,-278788.5914,-226906.3859,-286174.5839,-491629.1727,-247077.3081,-240283.6522,-252392.9632,-93535.10195,102555.6337,-1249413.282,-223840.6489,-89353.99012,-630211.7804,-912545.4946,-798274.9075,-1263772.154,-554868.6016,-948644.4843,-700648.3359,-644080.4116,-44461.59057,-1079893.157,-3018319.131,,,
38,9/30/2016,-941839.5189,-5125.37013,-298641.7967,-95831.12681,-107246.5024,-357202.4252,-236269.4598,-186490.2476,-383215.6917,-461557.5327,-249974.1112,-230888.0245,-259914.2282,-73847.46433,311018.9515,-1140852.533,-198179.8042,-111605.6402,-583179.12,-811832.8272,-492047.6347,-1111822.154,-466368.4309,-787434.2227,-661928.4784,-409048.3963,-42738.35321,-779532.7505,-2870299.64,,,
39,10/31/2016,-940426.2084,4936.368715,-270777.7454,-88625.20958,-102712.3597,-248081.7521,-207934.6884,-148570.4926,-470788.7971,-415257.3698,-225023.1262,-223294.658,-264624.7899,-53169.51129,550563.7287,-1022568.903,-167294.901,-117817.3845,-521113.6339,-707040.4015,-39591.41299,-908448.8261,-412304.4392,-633929.9975,-613959.6394,-69440.24671,-49434.73299,-448755.4962,-2626555.266,,,
40,11/30/2016,-893949.5983,21570.25109,-238028.5921,-82432.84756,-97952.32023,-96071.86609,-189590.6132,-126042.6202,-519731.1805,-351106.1774,-167622.2821,-218837.5965,-265749.489,-37267.64237,813495.7163,-883016.2369,-122688.4939,-94112.92005,-449156.1738,-627129.982,517831.8762,-677301.9104,-393353.5526,-534645.4046,-536717.9404,352989.5417,-66101.13655,-196901.9541,-2193363.589,,,
41,12/31/2016,-810656.7924,43185.39951,-205390.7322,-75479.02877,-89442.55412,81125.22192,-183171.0682,-129826.2525,-519292.9098,-275837.1222,-99927.939,-220065.4898,-249787.6203,-23520.13229,1069867.717,-699770.6763,-59752.77004,-35899.80516,-377555.1786,-577501.3043,1070569.442,-445083.5351,-422046.961,-490979.1192,-453917.849,755862.2427,-90028.68388,-57314.3171,-1675671.069,,,
42,1/31/2017,-733370.9388,66545.96274,-178943.1568,-67943.45371,-77701.28035,237747.8419,-184251.9917,-151831.8059,-477823.1353,-194679.4296,-50612.82901,-228198.0173,-204072.1956,-6755.25033,1284247.826,-442330.7937,10708.17948,48946.04618,-308166.6136,-541322.1624,1554814.456,-236896.2968,-482744.157,-474053.7257,-367273.4852,1052479.171,-104875.0125,35144.11823,-1201497.334,,,
43,2/28/2017,-690323.8198,88088.49267,-154416.4151,-61155.94936,-67217.52141,321803.347,-187487.1292,-179838.7547,-417215.2418,-110043.973,-37306.05249,-235578.5126,-127692.1677,9181.139272,1417480.165,-110582.0667,88157.30702,140100.3519,-234366.6081,-489148.9346,1952977.37,-74681.5889,-543983.1528,-454843.1113,-279702.4269,1206642.777,-90562.33436,166961.068,-895378.5532,,,
44,3/31/2017,-670520.6679,102454.4617,-131568.6016,-57110.53626,-63331.92529,318042.7015,-188648.0981,-198804.8553,-363768.5065,-27629.74824,-40404.74908,-236952.5262,-47978.44194,18716.26975,1434920.127,212924.1495,169648.1704,212961.5208,-152961.6774,-418677.835,2167079.169,29819.61317,-581694.7937,-415282.8604,-178983.3392,1275127.408,-50076.48841,360966.0677,-797127.9846,,,
45,4/30/2017,-660590.083,103978.0717,-116068.2,-57775.58543,-67298.37301,254202.7977,-182433.2853,-202404.3677,-336780.6233,40588.70123,-43119.01771,-229819.7061,7700.645501,20650.4872,1342643.563,409907.8288,246798.8622,243468.7796,-67227.38663,-342260.5515,2108438.072,69138.88042,-588043.0725,-355909.7782,-62438.89658,1338645.083,-8951.960709,596203.3188,-828093.2229,,,
46,5/31/2017,-666083.5555,87338.92226,-109654.6253,-62685.46445,-74875.56235,164394.0983,-174096.3712,-192774.5212,-338087.4789,78567.34815,-52288.30154,-218828.4432,20726.26101,19834.71552,1183721.103,392855.9323,334934.0838,224397.6768,-17239.70987,-276216.8874,1763887.073,57180.0514,-572123.8243,-296457.177,27084.75049,1359501.237,-3867.809266,786587.6785,-926585.6385,,,
47,6/30/2017,-700326.8072,54856.7247,-105768.3423,-68554.83781,-81104.15612,73797.57405,-177584.8038,-180763.9445,-359037.918,84896.03459,-90163.7566,-209586.0296,623.3807849,16105.14181,1018781.553,197308.8604,440195.4165,170700.9799,-22140.48022,-242473.2624,1250126.15,36239.85353,-539258.8456,-250473.6758,62625.47773,1281765.439,-48582.61561,914696.2463,-1019658.238,,,
48,7/31/2017,-762127.5571,16086.89081,-100400.2149,-69455.91745,-84102.6067,15741.19521,-198227.7802,-178064.2375,-380610.0293,67189.15823,-162573.4575,-208068.4111,-25007.92777,11801.74911,902297.7316,-39173.91556,538470.3742,112176.3358,-55490.94094,-235689.8583,807566.571,49004.72511,-499157.4723,-207829.6855,47689.6746,1114195.004,-129340.3177,1038482.32,-1021366.389,,,
49,8/31/2017,-810439.2263,-17974.16781,-93167.82966,-63559.82229,-87394.18556,-8898.591184,-221274.6212,-200651.5686,-386757.5523,29510.31175,-255645.1112,-212113.3617,-25972.76338,10076.07985,870538.5059,-218387.669,580485.6968,73847.52958,-84561.11252,-231113.8205,638799.4356,127489.7121,-463012.4423,-150032.8195,21596.54506,928367.4295,-210072.6695,1178131.801,-892029.0581,,,
50,9/30/2017,-808374.0084,-39689.9727,-85048.50735,-51588.79841,-97713.069,-57852.07288,-233376.6132,-253243.3833,-373249.6414,-33790.65405,-340481.8351,-216990.6056,16808.84587,9989.882405,937460.358,-317442.6083,537523.6675,66404.05396,-87846.54792,-230401.8889,743637.9523,258604.416,-422473.2207,-72052.36729,8389.520077,745421.0216,-251741.8452,1324665.02,-721570.6952,,,
51,10/31/2017,-757828.8318,-49489.01371,-82345.06952,-38859.34738,-120493.6925,-194777.9746,-233958.3561,-326605.0379,-345403.6582,-143707.7416,-409406.4291,-220929.8065,106842.2786,11812.03538,1076402.229,-359454.297,408094.8105,86568.3806,-68138.73675,-248106.1083,923758.6882,400321.6605,-370159.6218,13786.73234,-10607.94482,597932.3037,-254792.2774,1477542.762,-620914.7717,,,
52,11/30/2017,-710851.2192,-50205.70914,-89712.90026,-32569.90066,-157221.7387,-433181.0885,-237109.7516,-409818.1185,-312814.7904,-312695.3927,-473120.4957,-223201.0234,227506.9668,10288.30472,1257565.61,-431700.5502,234086.2483,118691.6716,-56428.27104,-302894.1235,961512.3546,484744.7995,-267834.2342,67726.53561,-43112.62459,461085.7511,-239226.283,1670318.584,-553684.2062,,,
53,12/31/2017,-685486.3232,-48934.82231,-102717.7145,-35346.50072,-204080.3811,-739314.3217,-248720.4535,-478150.2259,-282085.2794,-508245.1075,-558556.8135,-216547.6087,336216.7013,-4390.349886,1434426.033,-501809.268,81429.79709,142192.8646,-82711.91076,-401232.5577,858474.7644,465047.9909,-70362.6054,65048.02034,-90987.74682,252109.5016,-214699.4828,1880660.81,-431862.2988,,,
54,1/31/2018,-683621.0255,-52560.62893,-115625.378,-45035.7213,-252642.244,-1040155.445,-270935.445,-519725.2198,-256270.5307,-694112.6125,-652574.9956,-400471.7516,397319.5204,-30712.68026,1582410.094,-537974.8933,6443.965632,144646.1789,-146538.2698,-530749.9158,669681.4466,317562.6627,193583.8116,20475.34949,-87763.99059,-16902.49095,-181688.7186,2060691.801,-286518.9059,,,
55,2/28/2018,-698143.3796,-63223.74173,-122346.0991,-56434.28367,-292519.7222,-1260994.038,-301694.6121,-532488.0168,-238581.2559,-842688.0776,-719150.8541,-371170.2833,403039.5939,-60794.95013,1695207.41,-563934.7995,13457.81775,128971.6123,-215519.4331,-655035.7085,494066.6715,80476.89835,451768.4175,-17063.67045,37161.86696,-255813.9744,-137178.519,2185268.513,-169946.263,,,
56,3/31/2018,-715218.4986,-76238.14079,-120449.9453,-65147.03983,-312633.0942,-1379259.788,-330332.9568,-522739.9045,-227879.6632,-946710.3114,-740161.9942,-354440.8559,375095.709,-81979.60603,1772893.324,-624291.6267,70501.24787,104946.6297,-271114.5341,-732729.1845,375790.2668,-176837.999,638270.9228,6927.433974,259629.4603,-369910.5041,-89599.85995,2210463.844,-175465.4949,,,
57,4/30/2018,-705001.0231,-81833.62707,-113641.3309,-71254.459,-311440.204,-1406773.292,-343911.6618,-503403.6746,-218904.5716,-995652.8247,-703896.139,-349083.2365,358923.9686,-88893.43962,1803848.234,-697390.6164,116320.3203,83409.09458,-292002.4311,-748684.1428,268070.4472,-375289.9627,723003.079,-1762204.738,529217.4682,-289921.1011,-51139.58327,2133201.01,-316586.8118,,,
58,5/31/2018,-659631.6983,-73101.20038,-108177.3234,-78518.37858,-299606.3224,-1373105.423,-338062.2772,-484853.6755,-202758.9926,-983052.0084,-620820.462,-343344.8734,379721.44,-82715.01342,1770176.805,-687870.5256,104107.7037,79147.55969,-257656.6548,-705408.7998,165837.8089,-478123.0467,723240.8694,-1426171.843,763001.1871,-46865.21396,-33020.73768,1978039.964,-357617.3688,,,
59,6/30/2018,-591905.347,-50955.76835,-102882.7195,-91890.64295,-290007.2797,-1313528.597,-303279.6093,-470277.5785,-175088.5942,-907885.8374,-519576.5578,-326620.6309,434716.609,-73300.82005,1681414.543,-532061.3579,36578.30686,105568.6655,-185486.3342,-618895.4157,125955.6443,-491753.628,670661.1326,-1083554.169,915578.9043,242697.4457,-28739.92166,1662682.865,-66351.73103,,,
